"year","month","noaa.year.month","noaa.precip.anom","noaa.percent.precip.anom","mcfarland.year.month","mcfarland.precip.anom","mcfarland.percent.precip.anom","serc.year.month","serc.precip.anom","serc.percent.precip.anom"
1895,1,1895-01-01,1.39328515505566,30.7438508302521,NA,NA,NA,NA,NA,NA
1895,2,1895-02-01,-1.9211647615918,-49.9783458207434,NA,NA,NA,NA,NA,NA
1895,3,1895-03-01,-1.30364781888086,-28.8631225657864,NA,NA,NA,NA,NA,NA
1895,4,1895-04-01,-0.452000659311523,-10.7016635967206,NA,NA,NA,NA,NA,NA
1895,5,1895-05-01,-1.98650490206738,-52.1915626476999,NA,NA,NA,NA,NA,NA
1895,6,1895-06-01,-1.57542300254883,-47.4820418989526,NA,NA,NA,NA,NA,NA
1895,7,1895-07-01,-1.19825321533887,-38.4357880459615,NA,NA,NA,NA,NA,NA
1895,8,1895-08-01,-0.306941064493164,-9.96252421400494,NA,NA,NA,NA,NA,NA
1895,9,1895-09-01,-2.04561503179687,-50.5244685518287,NA,NA,NA,NA,NA,NA
1895,10,1895-10-01,-2.75951144030762,-64.7066513104959,NA,NA,NA,NA,NA,NA
1895,11,1895-11-01,4.93072516505078,94.2155693936844,NA,NA,NA,NA,NA,NA
1895,12,1895-12-01,-1.29470496218164,-27.2670533557399,NA,NA,NA,NA,NA,NA
1896,1,1896-01-01,-3.48426269289355,-76.8827917925045,NA,NA,NA,NA,NA,NA
1896,2,1896-02-01,1.36389329924805,35.4811478615373,NA,NA,NA,NA,NA,NA
1896,3,1896-03-01,2.08218078111914,46.100057254082,NA,NA,NA,NA,NA,NA
1896,4,1896-04-01,-2.91812988226074,-69.0902627864733,NA,NA,NA,NA,NA,NA
1896,5,1896-05-01,-1.52901972638379,-40.1720271397657,NA,NA,NA,NA,NA,NA
1896,6,1896-06-01,1.20412912586914,36.2915290139644,NA,NA,NA,NA,NA,NA
1896,7,1896-07-01,2.37104620223926,76.0549006752948,NA,NA,NA,NA,NA,NA
1896,8,1896-08-01,0.158002899666992,5.12837119534542,NA,NA,NA,NA,NA,NA
1896,9,1896-09-01,2.28747970472656,56.4982631667911,NA,NA,NA,NA,NA,NA
